Case Number,address_id,agency,attendees,contact_date,contact_method,contact_type,context,notes,worker,worker_organisation
SAMPLE-003,,,,23/09/2024 00:00,Email (to other),Child Criminal Exploitation contact,About,sample answer,Worker C,
SAMPLE-003,,,,23/09/2024 00:00,Phone (to other),Telephone Out,About,sample answer,Worker C,
SAMPLE-003,,,,23/09/2024 00:00,SMS (from other),Letter/Email/Text Advovacy,About,sample answer,Worker C,
SAMPLE-003,,,,23/09/2024 00:00,SMS (to client),Letter/Email/Text Advovacy,With,sample answer,Worker C,
SAMPLE-003,,,,23/09/2024 00:00,Video Link,Case Consultation Police,About,sample answer,Worker C,
SAMPLE-003,,,,24/09/2024 00:00,Email (from other),Letter/Email In,About,sample answer,Worker C,
SAMPLE-003,,,,24/09/2024 00:00,SMS (from other),Letter/Email/Text Advovacy,About,sample answer,Worker C,
SAMPLE-003,,,,25/09/2024 00:00,Email (to other),Letter/Email Out,About,sample answer,Worker C,
SAMPLE-003,,,,25/09/2024 00:00,Phone (to other),Telephone Out,About,sample answer,Worker C,
SAMPLE-003,,,,25/09/2024 00:00,SMS (to client),Letter/Email/Text Advovacy,With,sample answer,Worker C,
SAMPLE-003,,,,26/09/2024 00:00,Phone (to client),Telephone Out,With,sample answer,Worker C,
SAMPLE-003,,,,01/10/2024 00:00,Email (to other),Police Contact,About,sample answer,Worker C,
SAMPLE-003,,,,01/10/2024 00:00,Email (to other),Referral,About,sample answer,Worker C,
SAMPLE-003,,,,01/10/2024 00:00,SMS (to other),Letter/Email/Text Advovacy,About,sample answer,Worker C,
SAMPLE-003,,,,02/10/2024 00:00,Face to Face,Family Support/Wider Family Needs Contact,With,sample answer,Worker C,
SAMPLE-003,,,,03/10/2024 00:00,SMS (to other),Letter/Email/Text Advovacy,About,sample answer,Worker C,
SAMPLE-003,,,,20/10/2024 00:00,Email (from other),Letter/Email In,About,sample answer,Worker C,
SAMPLE-003,,,,28/10/2024 00:00,Face to Face,Substance Misuse,With,sample answer,Worker C,
SAMPLE-003,,,,04/11/2024 00:00,Face to Face,Offending Behaviour Contact,With,sample answer,Worker C,
SAMPLE-003,,,,17/11/2024 00:00,Email (from other),Restorative Justice Contact (Individual),About,sample answer,Worker C,
SAMPLE-003,,,,19/11/2024 00:00,Phone (to other),Telephone Out,About,sample answer,Worker C,
SAMPLE-003,,,,02/12/2024 00:00,Email (to other),Child Exploitation contact,About,sample answer,Worker C,
SAMPLE-003,,,,03/12/2024 00:00,Phone (to other),Telephone Out,About,sample answer,Worker C,
SAMPLE-003,,,,06/03/2025 00:00,Video Link,Multi Agency Exploitation Meeting,About,sample answer,Worker C,
SAMPLE-003,,,,09/03/2025 00:00,Face to Face,Assessment meeting,With,sample answer,Worker C,
SAMPLE-003,,,,17/03/2025 00:00,Video Link,Multi Agency Exploitation Meeting,About,sample answer,Worker C,
SAMPLE-003,,,,19/03/2025 00:00,Email (to other),Mental Health/Therapeutic Contact,About,sample answer,Worker C,
SAMPLE-003,,,,27/03/2025 00:00,Email (to other),Referral,About,sample answer,Worker C,
SAMPLE-003,,,,06/04/2025 00:00,Face to Face,Offending Behaviour Contact,With,sample answer,Worker C,
SAMPLE-003,,,,13/04/2025 00:00,Face to Face,Offending Behaviour Contact,With,sample answer,Worker C,
SAMPLE-003,,,,21/04/2025 00:00,Email (to other),Letter/Email Out,About,sample answer,Worker C,
SAMPLE-003,,,,21/04/2025 00:00,Face to Face,Victim Impact,With,sample answer,Worker C,
SAMPLE-003,,,,28/04/2025 00:00,Face to Face,Home Visit,With,sample answer,Worker C,
SAMPLE-003,,,,07/05/2025 00:00,Face to Face,Substance Misuse,With,sample answer,Worker C,
SAMPLE-003,,,,09/05/2025 00:00,Face to Face,Reparation Indirect Contact,With,sample answer,Worker C,
SAMPLE-003,,,,20/05/2025 00:00,Face to Face,Substance Misuse,With,sample answer,Worker C,
SAMPLE-003,,,,21/05/2025 00:00,Face to Face,Multi Agency Exploitation Meeting,About,sample answer,Worker C,
SAMPLE-003,,,,22/05/2025 00:00,SMS (to other),Letter/Email/Text Advovacy,About,sample answer,Worker C,
